,id,operational_status,capacity_mw,technology_description,OEO_region
5,2160,existing,5,Solar Photovoltaic,SE
6,2168,existing,2,Solar Photovoltaic,SE
7,2169,existing,4.8,Solar Photovoltaic,SE
9,2172,existing,10,Solar Photovoltaic,SE
10,2173,existing,10,Solar Photovoltaic,SE
11,2174,existing,10,Solar Photovoltaic,SE
12,2175,existing,10,Solar Photovoltaic,SE
13,2176,existing,10,Solar Photovoltaic,SE
14,2177,existing,5,Solar Photovoltaic,SE
15,2178,existing,3.4,Solar Photovoltaic,SE
16,2180,existing,1.5,Solar Photovoltaic,SE
17,2181,existing,299.3,Onshore Wind Turbine,CEN
18,2182,existing,297.8,Onshore Wind Turbine,CEN
19,2183,existing,27.3,Solar Photovoltaic,SW
27,2193,existing,81,Solar Photovoltaic,CEN
28,2195,existing,1.9,Solar Photovoltaic,SE
29,2196,existing,1.9,Solar Photovoltaic,SE
30,2197,existing,1.9,Solar Photovoltaic,SE
31,2198,existing,4.9,Solar Photovoltaic,SE
32,2199,existing,4.9,Solar Photovoltaic,SE
33,2200,existing,4.9,Solar Photovoltaic,SE
34,2201,existing,10.7,Solar Photovoltaic,CA
35,2202,existing,2.9,Solar Photovoltaic,CA
36,2203,existing,0.5,Solar Photovoltaic,MID_AT
37,2204,existing,0.5,Solar Photovoltaic,MID_AT
38,2205,existing,4.1,Solar Photovoltaic,SE
39,2206,existing,4.8,Solar Photovoltaic,SE
40,2207,existing,5.5,Solar Photovoltaic,NE
41,2208,existing,2.2,Solar Photovoltaic,NE
42,2209,existing,5.5,Solar Photovoltaic,NE
54,2225,existing,2.5,Solar Photovoltaic,NE
55,2226,existing,1.8,Solar Photovoltaic,MID_AT
56,2227,existing,2.5,Solar Photovoltaic,CEN
57,2230,existing,5,Solar Photovoltaic,SE
59,2239,existing,1.1,Solar Photovoltaic,SE
60,2240,existing,1.9,Solar Photovoltaic,NE
61,2241,existing,3.5,Solar Photovoltaic,CA
62,2242,existing,3.5,Solar Photovoltaic,SE
67,2247,existing,1.2,Solar Photovoltaic,MID_AT
68,2248,existing,1.5,Solar Photovoltaic,TX
69,2254,existing,1.2,Solar Photovoltaic,SW
70,2255,existing,1.5,Solar Photovoltaic,MID_AT
72,2260,existing,1,Solar Photovoltaic,SW
73,2261,existing,2,Solar Photovoltaic,N_CEN
77,2266,existing,1,Solar Photovoltaic,SE
80,2269,existing,1,Solar Photovoltaic,MID_AT
81,2276,existing,0.9,Solar Photovoltaic,N_CEN
82,2277,existing,0.9,Solar Photovoltaic,N_CEN
83,2278,existing,0.9,Solar Photovoltaic,N_CEN
84,2279,existing,0.9,Solar Photovoltaic,N_CEN
85,2280,existing,0.9,Solar Photovoltaic,N_CEN
86,2281,existing,0.9,Solar Photovoltaic,N_CEN
87,2282,existing,0.9,Solar Photovoltaic,N_CEN
88,2306,existing,1,Solar Photovoltaic,SE
