CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
31676,47730,67792,26020,27866,55011,82420,27951,34849
30195,45483,64212,24709,26561,52948,80579,26843,33987
28687,44321,62588,23544,25270,51333,78640,23712,33169
27212,43757,61802,22908,24250,50301,77501,23052,32530
25989,43484,61812,22723,23631,49969,77277,22652,32273
25087,43640,62672,23013,23191,50267,78170,22424,32145
24505,44511,64384,23754,23055,51410,80355,22454,32663
24349,46092,65956,24334,23279,52924,82714,22797,33729
24645,47359,67317,25327,24022,54330,86176,23516,34523
25267,48525,67805,26496,25113,55714,88266,23864,35552
25506,49422,68059,27401,26234,57120,88190,24153,36527
26301,49526,68341,27931,27087,58235,87803,24229,36862
27097,49430,68852,28347,27686,59163,88166,24336,36912
27801,49322,69103,28469,27733,59513,87983,24307,36804
28002,48704,69042,28390,27391,59331,87087,24167,36327
28022,48021,69550,28650,27032,59304,86032,23883,35750
27907,48073,72475,30857,26647,60443,86189,23677,35483
27884,49653,77869,33340,26341,64711,89986,23674,35752
28095,53465,79586,33236,26509,68086,96505,24265,37891
29395,55967,79193,32583,28480,68061,96402,26587,41390
33370,56334,78376,31642,30203,67246,94739,28209,41927
34062,55828,76141,30200,29962,65552,91953,27847,41760
33499,54809,73111,28345,29432,63356,88378,27330,41324
32641,52879,69402,26157,28561,60299,83755,26472,40038
31290,51041,66087,24225,27216,57539,79590,25783,38373
29240,49595,64063,22972,25488,55615,77274,25573,37025
27091,49155,63252,22291,24061,54506,76695,25128,36526
25464,49399,63629,22115,23221,54294,77498,24490,36589
24446,49828,65192,22444,22776,54966,79590,24203,37018
23892,51165,68122,23441,22701,56447,83983,24236,38134
23768,53512,72277,25071,23051,59306,90966,24676,40381
24192,56784,75443,26405,23890,62538,96340,25596,43412
25230,58880,77513,27885,25412,64806,100568,26868,45101
26723,59714,79951,29560,27198,66699,104103,27472,45438
27649,60260,82173,30892,28545,68800,106140,27931,45459
28932,60236,83182,31504,29434,69808,106346,28279,45168
30238,59550,83482,31712,30204,70154,105313,28526,44170
31233,58193,83428,31706,30669,69999,103589,28512,43021
31447,56843,83279,31667,30453,69501,101976,28172,41676
31298,55822,83836,32115,29841,69303,101431,27754,40592
31142,55622,87077,34509,29264,70382,103703,27455,40072
31133,57077,94144,37641,28949,74560,112393,27523,40468
31228,61926,96124,37526,29244,78357,122125,28234,43200
32325,65118,95966,36985,31059,78383,124187,30768,47247
36063,65222,94411,35676,32020,77072,123499,32122,48019
36628,64816,91474,33609,31621,75122,120759,31774,48110
35905,63369,86806,30863,30755,71803,115924,31152,47341
34733,60794,81899,28310,29409,67766,110733,29968,45316
32793,58146,78471,26523,27529,64767,107216,28028,43082
30088,56585,76597,25424,25279,62982,105930,26135,41744
27501,56332,76089,24954,23420,62312,105976,24985,41487
25737,56677,76556,24902,22466,62309,107851,24203,41788
24800,57545,78543,25595,22007,63154,111519,23979,42653
24328,59386,83600,27736,21929,66055,119508,24141,44608
24326,63245,92118,31808,22284,71536,131824,24766,48437
25158,68726,97409,34454,23540,77110,140060,26392,53913
27240,70792,97649,35177,26148,78949,140228,28692,55493
30285,69619,97232,35686,29206,78370,138140,29970,53677
32053,67415,97351,36073,30569,78129,135436,30032,51158
32847,65028,97230,36237,30225,77655,131870,29754,48875
33535,62838,96878,36232,29834,77079,127696,29703,46862
34072,60970,96772,36302,29355,76447,123946,29573,45139
34152,59303,96374,36255,28804,75674,120787,29237,43769
34118,57686,96558,36761,28482,74746,119313,28960,42601
34296,57157,99484,39085,28324,75276,121675,28846,42146
34287,58729,106708,42280,28244,79229,131734,28958,42596
34013,63260,109238,42386,28632,82966,145148,29570,45366
34320,66268,108370,41544,30087,82533,148817,31444,48936
37360,66096,106633,40012,31111,80928,149066,32426,49195
37747,65519,103071,37834,30815,78671,146351,32056,48971
36884,63498,97911,34976,30132,74833,140960,31414,47575
35596,60376,92402,32233,29108,70512,135230,30154,44813
33589,57183,88777,30404,27455,66897,131561,28207,41933
30932,55491,86813,29432,25387,64710,130541,26497,40184
28505,54758,86300,28869,23677,63709,131150,25253,39483
26855,54473,86585,28714,22710,63196,132721,24697,39259
25821,54997,88275,29275,22286,63721,136275,24544,39477
25268,56184,92999,31251,22232,66039,143949,24694,40740
25265,59713,100747,35230,22566,71133,155479,25433,44031
26037,64996,105211,37674,23775,76448,161903,27133,49132
28133,66501,104456,37956,26386,77863,157886,29522,50489
31114,64533,102689,38233,29455,76923,148692,30911,48730
32771,62213,101068,38319,30898,76109,139002,30557,46818
33379,60065,98974,38061,30440,75132,130077,29940,45081
33898,58081,97117,37695,29911,73900,122465,29689,43718
34300,56222,95594,37523,29467,72881,116486,29324,42567
34480,54885,94185,37250,29106,71934,111680,28897,41748
34517,53904,94164,37575,28866,71257,109428,28699,41111
34771,53710,96667,39852,28713,71903,110876,28640,40660
34793,54722,102813,42225,28686,75608,119147,28711,40938
34792,58704,104565,42151,29184,79101,130655,29403,42860
35042,61159,102969,40984,30486,78585,133037,31149,45591
37759,60874,100703,39243,31374,77020,132659,32153,45398
37931,60215,96745,36850,30948,74797,129677,31838,44930
36977,58437,90407,33784,30121,70654,123719,31161,43574
35621,55501,84394,30765,29017,66252,117053,29871,41087
33558,52458,79859,28715,27051,62879,112253,27942,38420
30934,51037,77539,27551,24971,61138,110912,26191,36869
28502,50426,76279,26934,23168,59858,110681,24961,36293
26926,50475,76096,26722,22104,59431,112088,24342,36167
25846,51123,77562,27209,21668,60174,115222,24075,36601
25275,52532,82026,29085,21554,62577,122722,24167,37896
25300,56017,90051,32875,21924,67837,135436,24949,41246
26135,61638,95380,35540,23149,73507,142020,26576,46445
28141,63372,95063,36109,25688,75088,137794,29179,48057
31163,61388,93406,36392,28774,73992,128647,30470,46479
32602,58901,91593,36352,30249,72866,119539,30116,44905
33348,57192,89588,36079,29815,71964,112376,29568,43760
33921,55796,87894,35806,29437,70786,106862,29344,42739
34208,54482,86628,35745,29100,69866,103189,29038,41852
34434,53458,85393,35534,28507,68976,100078,28623,41297
34479,52594,84678,35759,28263,68010,98132,28413,40776
34690,52216,86927,37741,28153,68189,98991,28314,40573
34732,52891,93549,40391,28106,71522,105079,28448,40736
34677,56126,96613,40327,28465,75554,115182,29068,42294
34734,58661,96118,39231,29897,75235,117216,30749,44734
37348,58309,94368,37562,31382,73648,116835,31836,44446
37646,57663,90972,35297,31419,71370,114109,31505,43868
36676,55576,85850,32358,30926,67834,108979,30902,42242
35433,52572,80036,29583,30057,63316,103233,29742,39603
33691,49710,76006,27658,28483,59777,99281,27995,36977
31054,48098,73865,26509,26328,57647,97681,26258,35297
28572,47432,72764,25920,24637,56475,97813,25055,34384
27001,47291,72546,25703,23736,56062,99030,24495,34009
25944,47592,74013,26177,23297,56704,102419,24292,34157
25390,48742,78268,28055,23332,58984,109720,24428,34991
25372,52215,86067,31801,23760,64096,122273,25141,37720
26161,57377,90849,34266,25099,69642,129555,26872,42283
28180,59113,90009,34676,27739,71368,126156,29420,43952
31147,57706,87821,34810,30831,70424,118750,30752,42813
32715,56495,85799,34787,32450,69718,111349,30540,42159
33478,55211,83708,34500,32224,69019,105491,30060,41724
33806,54061,81762,34127,31785,67992,101160,29744,41218
34062,53119,80425,33861,31262,67229,98280,29270,40810
34039,52399,78967,33485,30657,66249,95695,28784,40694
33776,51677,77903,33649,30263,65431,93860,28502,40555
33805,51281,78866,35335,30151,65388,93836,28413,40423
33715,51826,84407,37644,30182,68170,98048,28469,40286
33534,54492,86566,37368,30812,71228,105592,29033,41018
33774,55679,85175,36078,31928,70282,104896,30595,42614
36493,54814,83331,34476,32606,68628,103075,31463,41712
36685,53786,80864,32748,32098,66702,100582,31042,40636
35730,52315,77018,30408,31099,63917,96789,30413,39352
34690,50564,72344,27934,30141,60463,91350,29594,37668
33044,48191,68625,25980,28697,57194,86917,28209,35430
30908,46170,66033,24753,26794,55011,84022,26805,33730
28908,45320,64663,24032,25224,53490,82546,25716,32608
27312,44792,64218,23707,24058,52863,82000,24956,31901
26172,44888,64720,23824,23490,53135,82791,24563,31768
25440,45448,66608,24575,23276,54050,85126,24551,32073
25202,46954,69707,25980,23382,56302,89084,24921,33176
25438,49282,73139,27466,23945,59240,93376,25659,35068
26332,51274,75351,29098,25154,61466,96892,26843,36739
27626,52681,76164,30267,26704,62729,98372,27831,38306
28366,53390,75867,30761,28138,63458,97450,28262,39695
29304,53284,74892,30723,29387,63240,95633,28529,40332
30293,52585,73403,30397,30059,62630,93659,28541,40392
30574,51544,71913,29947,30082,61580,91478,28364,40028
30434,50602,70625,29600,29728,60554,89736,27899,39383
30148,50086,70085,29850,29158,60022,88960,27542,39023
29950,50129,71570,31681,28654,60719,89131,27590,39027
29832,51200,77530,34276,28492,64243,92844,27821,39178
30003,54427,80319,34311,28868,67913,99575,28589,40478
30601,55682,79287,33209,30057,67253,98474,30213,42264
33814,54818,77932,31911,30859,65884,95981,31113,41809
34436,53945,75761,30522,30370,64348,92898,30675,40996
33772,52318,72926,28728,29681,62224,88992,30083,39797
32912,50321,69249,26735,28835,59098,83940,29268,38177
31676,48156,65984,25026,27711,56510,79502,27966,36351
29800,46481,64146,23953,26127,54797,76881,26707,34739
28037,45420,63125,23248,24551,53717,75609,25630,33699
26695,44962,62983,22968,23657,53260,75405,24994,33165
25639,44949,63472,23021,23080,53408,76221,24662,33094
24972,45150,65083,23557,22854,54141,78221,24580,33296
24757,46132,67640,24642,22982,55796,81907,24814,34077
24891,47849,70589,25797,23465,58087,86557,25421,35475
25515,49586,73177,27357,24508,59904,91615,26296,36779
26612,51133,74395,28831,26018,61007,93908,27092,38064
27116,52215,74110,29792,27579,61324,93467,27769,39374
28043,52364,73333,30289,28855,61097,91856,28115,39785
28705,52048,73018,30618,29356,60920,91535,28239,39843
29088,52272,72575,30692,29198,60562,91401,28184,40049
29098,52019,71782,30658,28684,60148,90766,27993,39845
28923,51631,72069,30992,28170,59914,90178,27610,39545
28815,51757,74839,33061,27558,61232,91437,27392,39518
28724,52787,81708,35927,27130,65322,95668,27385,39987
28790,56354,84884,36052,27366,69361,102213,28196,41874
29878,58144,84891,35468,29144,69400,101665,30479,44267
33819,57969,84459,34425,30988,68572,99858,32280,44237
34833,56887,82051,32632,30995,66595,96030,32182,43297
34328,54996,77905,30220,30462,63625,89850,31503,41616
33342,52010,73718,27923,29493,60326,83424,30274,39116
31606,49068,70658,26319,27772,57644,78169,28503,36358
29268,47266,69127,25367,25733,56200,75414,26834,34353
27263,46610,68629,24905,24095,55461,74393,25739,33528
25998,46776,68850,24894,23182,55467,74475,25242,33427
25213,47118,70927,25489,22859,56540,76524,25097,33612
24877,48409,76117,27606,22808,59457,82597,25285,34515
25038,52149,84954,31686,23305,65518,94156,26093,37425
25915,57774,90610,34314,24616,71751,101886,27924,42288
28245,60354,90840,34757,27205,73654,101549,30667,44483
32120,59718,90104,35013,30454,73042,101555,31930,44626
34135,59214,89651,35165,31910,72458,102295,31553,45313
34644,58646,88760,34958,31547,71803,102618,31001,45817
34730,57956,87708,34585,31082,70910,102267,30630,46600
34807,57098,86913,34352,30621,70166,101846,30157,46775
34510,56343,86156,33983,30081,69356,100968,29671,46786
34253,55598,86207,34146,29718,68590,100507,29377,46448
34171,55271,88236,35996,29281,68534,101310,28966,46112
33903,56313,93683,38991,29110,71388,105209,28869,46519
33567,59894,95566,38881,29543,75400,111558,29427,48355
34140,62047,94847,38077,31241,75616,111318,31853,50417
37526,61331,92955,36682,32530,74348,107748,33367,49834
38015,59950,89114,34345,32191,72011,101920,33097,48565
37194,57879,83513,31368,31422,68283,95476,32469,46525
35900,54586,77773,28565,30321,63992,88258,31136,43073
33828,51424,73618,26620,28398,60708,82752,29034,40118
30977,49311,71506,25469,26001,58642,79243,27164,37995
28631,48293,70479,24918,24171,57709,77603,26157,37032
27163,48142,70693,24783,23216,57394,77319,25603,36797
26226,48452,72482,25358,22781,58208,79007,25447,37025
25753,49798,77568,27381,22744,60926,84581,25612,38390
25825,53283,86356,31435,23239,66456,95574,26439,41726
26710,58774,91844,33929,24586,72363,102618,28339,47035
28947,60936,91299,34440,27422,73817,102287,31050,49212
32684,60006,89194,34744,30695,72572,101882,32311,48279
