Counter,id,operational_status,capacity_mw,technology_description,OEO_region
0,1783,existing,1,Other Waste Biomass,CA
1,1784,existing,1,Other Waste Biomass,CA
2,1785,existing,1,Other Waste Biomass,CA
8,2170,existing,7.9,Natural Gas Fired Combustion Turbine,MID_AT
20,2184,existing,2,Petroleum Liquids,N_CEN
47,2218,existing,1.5,Petroleum Liquids,NE
48,2219,existing,1.4,Petroleum Liquids,NE
49,2220,existing,1.4,Petroleum Liquids,NE
50,2221,existing,1.4,Petroleum Liquids,NE
51,2222,existing,7.7,Natural Gas Fired Combustion Turbine,NE
52,2223,existing,2.5,Petroleum Liquids,NE
53,2224,existing,2.5,Petroleum Liquids,NE
78,2267,existing,2,Natural Gas Internal Combustion Engine,NE
98,2327,existing,1.3,Other Natural Gas,CA
99,2328,existing,1.3,Other Natural Gas,CA
101,2330,existing,1.6,Landfill Gas,MID_AT
102,2331,existing,1.6,Landfill Gas,MID_AT
103,2332,existing,1.6,Landfill Gas,MID_AT
133,2393,existing,1.8,Petroleum Liquids,MID_AT
157,2454,existing,4.8,Natural Gas Fired Combustion Turbine,CA
158,2455,existing,1.5,Petroleum Liquids,NE
159,2456,existing,1.5,Petroleum Liquids,NE
160,2457,existing,1.4,Petroleum Liquids,NE
161,2458,existing,1.4,Petroleum Liquids,NE
162,2459,existing,2,Petroleum Liquids,NE
163,2460,existing,0.1,Petroleum Liquids,NE
164,2461,existing,2,Petroleum Liquids,NE
165,2462,existing,2,Petroleum Liquids,NE
166,2463,existing,1,Petroleum Liquids,NE
176,2475,existing,0.8,Landfill Gas,NE
177,2476,existing,0.8,Landfill Gas,NE
178,2477,existing,0.8,Landfill Gas,NE
179,2478,existing,0.8,Landfill Gas,NE
180,2479,existing,0.8,Landfill Gas,NE
181,2480,existing,0.8,Landfill Gas,NE
182,2481,existing,0.8,Landfill Gas,NE
183,2482,existing,0.8,Landfill Gas,NE
225,2543,existing,11,Other Waste Biomass,CA
226,2544,existing,11,Other Waste Biomass,CA
227,2545,existing,11,Other Waste Biomass,CA
258,2591,existing,2,Natural Gas Internal Combustion Engine,MID_AT
259,2592,existing,2,Natural Gas Internal Combustion Engine,MID_AT
273,2613,existing,1,Other Waste Biomass,CA
286,2630,existing,240.7,Natural Gas Fired Combined Cycle,NE
287,2631,existing,240.7,Natural Gas Fired Combined Cycle,NE
288,2632,existing,158.4,Natural Gas Fired Combined Cycle,NE
289,2633,existing,158.4,Natural Gas Fired Combined Cycle,NE
352,2709,existing,3.2,Other Waste Biomass,NE
379,2746,existing,3.2,Natural Gas Internal Combustion Engine,N_CEN
382,2749,existing,6,Landfill Gas,SW
383,2750,existing,6,Landfill Gas,SW
400,2775,existing,271,Natural Gas Fired Combined Cycle,SW
401,2776,existing,174,Natural Gas Fired Combined Cycle,SW
402,2777,existing,174,Natural Gas Fired Combined Cycle,SW
419,2794,existing,2,Petroleum Liquids,CEN
420,2795,existing,2,Petroleum Liquids,CEN
421,2796,existing,2,Petroleum Liquids,CEN
422,2797,existing,2,Petroleum Liquids,CEN
423,2798,existing,2,Petroleum Liquids,CEN
424,2799,existing,2,Petroleum Liquids,CEN
431,2806,existing,6.3,Natural Gas Fired Combustion Turbine,N_CEN
448,2828,existing,1,Other Waste Biomass,N_CEN
449,2829,existing,1,Other Waste Biomass,N_CEN
450,2830,existing,1,Other Waste Biomass,N_CEN
492,2874,existing,1,Landfill Gas,SE
494,2876,existing,1.6,Landfill Gas,SE
495,2877,existing,1.6,Landfill Gas,SE
496,2878,existing,1.6,Landfill Gas,SE
497,2879,existing,1.6,Landfill Gas,SE
498,2880,existing,1.6,Landfill Gas,SE
499,2881,existing,1.6,Landfill Gas,SE
502,2887,existing,1.6,Landfill Gas,SW
503,2888,existing,1.6,Landfill Gas,SW
549,2947,existing,9.3,Natural Gas Internal Combustion Engine,N_CEN
550,2948,existing,9.3,Natural Gas Internal Combustion Engine,N_CEN
551,2949,existing,9.3,Natural Gas Internal Combustion Engine,N_CEN
552,2950,existing,9.3,Natural Gas Internal Combustion Engine,N_CEN
553,2951,existing,9.3,Natural Gas Internal Combustion Engine,N_CEN
596,3008,existing,2.8,Other Natural Gas,NE
613,3034,existing,1.6,Landfill Gas,CA
626,3054,existing,17.1,Natural Gas Internal Combustion Engine,N_CEN
627,3055,existing,17.1,Natural Gas Internal Combustion Engine,N_CEN
628,3056,existing,17.1,Natural Gas Internal Combustion Engine,N_CEN
646,3079,existing,5.6,Natural Gas Fired Combustion Turbine,CEN
699,3144,existing,121.5,Natural Gas Fired Combustion Turbine,TX
702,3148,existing,394,Natural Gas Fired Combined Cycle,MID_AT
703,3149,existing,370,Natural Gas Fired Combined Cycle,MID_AT
704,3150,existing,370,Natural Gas Fired Combined Cycle,MID_AT
708,3154,existing,60.5,Natural Gas Fired Combustion Turbine,TX
709,3155,existing,60.5,Natural Gas Fired Combustion Turbine,TX
710,3156,existing,60.5,Natural Gas Fired Combustion Turbine,TX
711,3157,existing,60.5,Natural Gas Fired Combustion Turbine,TX
768,3222,existing,2.8,Other Natural Gas,NE
769,3223,existing,2.8,Other Natural Gas,NE
773,3227,existing,1.6,Landfill Gas,MID_AT
775,3231,existing,1.4,Other Natural Gas,CA
787,3249,existing,460,Natural Gas Fired Combined Cycle,MID_AT
788,3250,existing,244.8,Natural Gas Fired Combined Cycle,MID_AT
789,3251,existing,244.8,Natural Gas Fired Combined Cycle,MID_AT
790,3252,existing,244.8,Natural Gas Fired Combined Cycle,MID_AT
796,3264,existing,555,Natural Gas Fired Combined Cycle,MID_AT
797,3265,existing,555,Natural Gas Fired Combined Cycle,MID_AT
798,3266,existing,555,Natural Gas Fired Combined Cycle,MID_AT
805,3274,existing,1,Landfill Gas,SW
806,3275,existing,0.7,Landfill Gas,SW
807,3276,existing,0.6,Landfill Gas,SW
853,3337,existing,235.5,Natural Gas Fired Combined Cycle,MID_AT
854,3338,existing,235.5,Natural Gas Fired Combined Cycle,MID_AT
855,3339,existing,359.6,Natural Gas Fired Combined Cycle,MID_AT
868,3365,existing,4.1,Natural Gas Fired Combustion Turbine,NE
876,3378,existing,71.2,Natural Gas Fired Combustion Turbine,TX
877,3379,existing,71.2,Natural Gas Fired Combustion Turbine,TX
878,3380,existing,71.2,Natural Gas Fired Combustion Turbine,TX
879,3381,existing,71.2,Natural Gas Fired Combustion Turbine,TX
880,3382,existing,71.2,Natural Gas Fired Combustion Turbine,TX
881,3383,existing,71.2,Natural Gas Fired Combustion Turbine,TX
882,3384,existing,0.8,Other Waste Biomass,NW
883,3385,existing,0.8,Other Waste Biomass,NW
892,3398,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
893,3399,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
894,3400,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
895,3401,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
899,3408,existing,1.2,Other Waste Biomass,CA
903,3421,existing,1.6,Landfill Gas,SE
904,3422,existing,1.6,Landfill Gas,SE
909,3427,existing,2,Petroleum Liquids,MID_AT
910,3428,existing,2,Petroleum Liquids,MID_AT
911,3429,existing,2,Petroleum Liquids,MID_AT
912,3430,existing,2,Petroleum Liquids,MID_AT
913,3431,existing,2,Petroleum Liquids,MID_AT
914,3432,existing,2,Petroleum Liquids,MID_AT
925,3443,existing,1.1,Other Natural Gas,CA
926,3444,existing,1.1,Other Natural Gas,CA
927,3445,existing,0.3,Landfill Gas,SE
928,3446,existing,0.3,Landfill Gas,SE
929,3447,existing,0.3,Landfill Gas,SE
930,3448,existing,0.3,Landfill Gas,SE
931,3449,existing,0.3,Landfill Gas,SE
932,3450,existing,0.3,Landfill Gas,SE
933,3451,existing,0.3,Landfill Gas,SE
934,3452,existing,0.3,Landfill Gas,SE
935,3453,existing,0.3,Landfill Gas,SE
936,3454,existing,0.3,Landfill Gas,SE
937,3455,existing,0.3,Landfill Gas,SE
938,3456,existing,0.3,Landfill Gas,SE
939,3457,existing,0.3,Landfill Gas,SE
940,3458,existing,0.3,Landfill Gas,SE
941,3459,existing,0.3,Landfill Gas,SE
942,3460,existing,0.3,Landfill Gas,SE
943,3461,existing,0.3,Landfill Gas,SE
944,3462,existing,0.3,Landfill Gas,SE
945,3465,existing,0.8,Other Waste Biomass,CA
946,3466,existing,0.8,Other Waste Biomass,CA
972,3509,existing,1.4,Landfill Gas,SE
973,3510,existing,1.4,Landfill Gas,SE
988,3555,existing,1,Landfill Gas,MID_AT
995,3562,existing,1.6,Natural Gas Internal Combustion Engine,NW
996,3563,existing,1.6,Natural Gas Internal Combustion Engine,NW
997,3564,existing,1.6,Natural Gas Internal Combustion Engine,NW
998,3565,existing,1.6,Natural Gas Internal Combustion Engine,NW
999,3566,existing,1.6,Natural Gas Internal Combustion Engine,NW
1007,3577,existing,508.5,Natural Gas Fired Combined Cycle,TX
1008,3578,existing,360.9,Natural Gas Fired Combined Cycle,TX
1009,3579,existing,360.9,Natural Gas Fired Combined Cycle,TX
1011,3581,existing,1.4,Other Natural Gas,CA
1022,3592,existing,3.4,Other Natural Gas,NE
1028,3598,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1029,3599,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1030,3600,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1031,3601,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
