Region_Name,Output_Title,Output_value
CA,Base Ls value (MW),-9000.0
CA,E_Solar_ELCC (MW),4000.0
CA,E_Solar_CapCred,0.36992509016924074
CA,E_On_Wind_ELCC (MW),1500.0
CA,E_On_Wind_CapCred,0.2590584090359573
CA,Iter 1: New VRE Cluster 1 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 1 CapCred,0.5
CA,Iter 2: New VRE Cluster 1 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 1 CapCred,0.5
CA,Iter 1: New VRE Cluster 2 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 2 CapCred,0.5
CA,Iter 2: New VRE Cluster 2 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 2 CapCred,0.5
CA,Iter 1: New VRE Cluster 3 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 3 CapCred,0.5
CA,Iter 2: New VRE Cluster 3 ELCC (MW),1000.0
CA,Iter 2: New VRE Cluster 3 CapCred,1.0
CA,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 4 CapCred,0.5
CA,Iter 2: New VRE Cluster 4 ELCC (MW),1000.0
CA,Iter 2: New VRE Cluster 4 CapCred,1.0
CA,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 5 CapCred,0.5
CA,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 5 CapCred,0.5
CA,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 6 CapCred,0.5
CA,Iter 2: New VRE Cluster 6 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 6 CapCred,0.5
CA,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 7 CapCred,0.5
CA,Iter 2: New VRE Cluster 7 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 7 CapCred,0.5
CA,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 8 CapCred,0.5
CA,Iter 2: New VRE Cluster 8 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 8 CapCred,0.5
CA,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 9 CapCred,0.5
CA,Iter 2: New VRE Cluster 9 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 9 CapCred,0.5
CA,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 10 CapCred,0.5
CA,Iter 2: New VRE Cluster 10 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 10 CapCred,0.5
CA,Iter 1: New VRE Cluster 11 ELCC (MW),1000.0
CA,Iter 1: New VRE Cluster 11 CapCred,1.0
CA,Iter 2: New VRE Cluster 11 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 11 CapCred,0.5
CA,Iter 1: New VRE Cluster 12 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 12 CapCred,0.5
CA,Iter 2: New VRE Cluster 12 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 12 CapCred,0.5
CA,Iter 1: New VRE Cluster 13 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 13 CapCred,0.5
CA,Iter 2: New VRE Cluster 13 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 13 CapCred,0.5
CA,Iter 1: New VRE Cluster 14 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 14 CapCred,0.5
CA,Iter 2: New VRE Cluster 14 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 14 CapCred,0.5
CA,Iter 1: New VRE Cluster 15 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 15 CapCred,0.5
CA,Iter 2: New VRE Cluster 15 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 15 CapCred,0.5
CA,Iter 1: New VRE Cluster 16 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 16 CapCred,0.5
CA,Iter 2: New VRE Cluster 16 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 16 CapCred,0.5
CA,Iter 1: New VRE Cluster 17 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 17 CapCred,0.5
CA,Iter 2: New VRE Cluster 17 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 17 CapCred,0.5
CA,Iter 1: New VRE Cluster 18 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 18 CapCred,0.5
CA,Iter 2: New VRE Cluster 18 ELCC (MW),1000.0
CA,Iter 2: New VRE Cluster 18 CapCred,1.0
CA,Iter 1: New VRE Cluster 19 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 19 CapCred,0.5
CA,Iter 2: New VRE Cluster 19 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 19 CapCred,0.5
CA,Iter 1: New VRE Cluster 20 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 20 CapCred,0.5
CA,Iter 2: New VRE Cluster 20 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 20 CapCred,0.5
CA,Iter 1: New VRE Cluster 21 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 21 CapCred,0.5
CA,Iter 2: New VRE Cluster 21 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 21 CapCred,0.5
CA,Iter 1: New VRE Cluster 22 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 22 CapCred,0.5
CA,Iter 2: New VRE Cluster 22 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 22 CapCred,0.5
CA,Iter 1: New VRE Cluster 23 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 23 CapCred,0.5
CA,Iter 2: New VRE Cluster 23 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 23 CapCred,0.5
CA,Iter 1: New VRE Cluster 24 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 24 CapCred,0.5
CA,Iter 2: New VRE Cluster 24 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 24 CapCred,0.5
CA,Iter 1: New VRE Cluster 25 ELCC (MW),500.0
CA,Iter 1: New VRE Cluster 25 CapCred,0.5
CA,Iter 2: New VRE Cluster 25 ELCC (MW),500.0
CA,Iter 2: New VRE Cluster 25 CapCred,0.5
NW,Base Ls value (MW),18500.0
NW,E_Solar_ELCC (MW),500.0
NW,E_Solar_CapCred,1.2603982858583314
NW,E_On_Wind_ELCC (MW),3000.0
NW,E_On_Wind_CapCred,0.3171515561569688
NW,Iter 1: New VRE Cluster 1 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 1 CapCred,0.5
NW,Iter 2: New VRE Cluster 1 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 1 CapCred,1.0
NW,Iter 1: New VRE Cluster 2 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 2 CapCred,0.5
NW,Iter 2: New VRE Cluster 2 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 2 CapCred,0.5
NW,Iter 1: New VRE Cluster 3 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 3 CapCred,0.5
NW,Iter 2: New VRE Cluster 3 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 3 CapCred,0.5
NW,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 4 CapCred,0.5
NW,Iter 2: New VRE Cluster 4 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 4 CapCred,0.5
NW,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 5 CapCred,0.5
NW,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 5 CapCred,0.5
NW,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 6 CapCred,0.5
NW,Iter 2: New VRE Cluster 6 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 6 CapCred,1.0
NW,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 7 CapCred,0.5
NW,Iter 2: New VRE Cluster 7 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 7 CapCred,0.5
NW,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 8 CapCred,0.5
NW,Iter 2: New VRE Cluster 8 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 8 CapCred,0.5
NW,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 9 CapCred,0.5
NW,Iter 2: New VRE Cluster 9 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 9 CapCred,0.5
NW,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 10 CapCred,0.5
NW,Iter 2: New VRE Cluster 10 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 10 CapCred,0.5
NW,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 11 CapCred,0.5
NW,Iter 2: New VRE Cluster 11 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 11 CapCred,1.0
NW,Iter 1: New VRE Cluster 12 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 12 CapCred,0.5
NW,Iter 2: New VRE Cluster 12 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 12 CapCred,1.0
NW,Iter 1: New VRE Cluster 13 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 13 CapCred,0.5
NW,Iter 2: New VRE Cluster 13 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 13 CapCred,0.5
NW,Iter 1: New VRE Cluster 14 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 14 CapCred,0.5
NW,Iter 2: New VRE Cluster 14 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 14 CapCred,0.5
NW,Iter 1: New VRE Cluster 15 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 15 CapCred,0.5
NW,Iter 2: New VRE Cluster 15 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 15 CapCred,0.5
NW,Iter 1: New VRE Cluster 16 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 16 CapCred,0.5
NW,Iter 2: New VRE Cluster 16 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 16 CapCred,1.0
NW,Iter 1: New VRE Cluster 17 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 17 CapCred,0.5
NW,Iter 2: New VRE Cluster 17 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 17 CapCred,1.0
NW,Iter 1: New VRE Cluster 18 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 18 CapCred,0.5
NW,Iter 2: New VRE Cluster 18 ELCC (MW),1000.0
NW,Iter 2: New VRE Cluster 18 CapCred,1.0
NW,Iter 1: New VRE Cluster 19 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 19 CapCred,0.5
NW,Iter 2: New VRE Cluster 19 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 19 CapCred,0.5
NW,Iter 1: New VRE Cluster 20 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 20 CapCred,0.5
NW,Iter 2: New VRE Cluster 20 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 20 CapCred,0.5
NW,Iter 1: New VRE Cluster 21 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 21 CapCred,0.5
NW,Iter 2: New VRE Cluster 21 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 21 CapCred,0.5
NW,Iter 1: New VRE Cluster 22 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 22 CapCred,0.5
NW,Iter 2: New VRE Cluster 22 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 22 CapCred,0.5
NW,Iter 1: New VRE Cluster 23 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 23 CapCred,0.5
NW,Iter 2: New VRE Cluster 23 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 23 CapCred,0.5
NW,Iter 1: New VRE Cluster 24 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 24 CapCred,0.5
NW,Iter 2: New VRE Cluster 24 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 24 CapCred,0.5
NW,Iter 1: New VRE Cluster 25 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 25 CapCred,0.5
NW,Iter 2: New VRE Cluster 25 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 25 CapCred,0.5
NW,Iter 1: New VRE Cluster 26 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 26 CapCred,0.5
NW,Iter 2: New VRE Cluster 26 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 26 CapCred,0.5
NW,Iter 1: New VRE Cluster 27 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 27 CapCred,0.5
NW,Iter 2: New VRE Cluster 27 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 27 CapCred,0.5
NW,Iter 1: New VRE Cluster 28 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 28 CapCred,0.5
NW,Iter 2: New VRE Cluster 28 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 28 CapCred,0.5
NW,Iter 1: New VRE Cluster 29 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 29 CapCred,0.5
NW,Iter 2: New VRE Cluster 29 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 29 CapCred,0.5
NW,Iter 1: New VRE Cluster 30 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 30 CapCred,0.5
NW,Iter 2: New VRE Cluster 30 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 30 CapCred,0.5
NW,Iter 1: New VRE Cluster 31 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 31 CapCred,0.5
NW,Iter 2: New VRE Cluster 31 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 31 CapCred,0.5
NW,Iter 1: New VRE Cluster 32 ELCC (MW),500.0
